cust_code,first_shop_date,last_shop_date,previous_shop_date,dur_from_last_date,weekday_count,holiday_count,shop_morning_count,shop_afternoon_count,shop_evening_count,shop_night_count,no_of_visit,mtbp,no_visit_week,avg_weekly_visit,percent_active_weeks,total_spend,avg_weekly_spend,avg_spend,std_spend,spend_last_1_mth,spend_last_3_mth,spend_last_6_mth,arpu,avg_prod40_d1_spend,avg_prod40_d2_spend,avg_prod40_d3_spend,avg_prod40_d4_spend,avg_prod40_d5_spend,avg_prod40_d6_spend,avg_prod40_d7_spend,avg_prod40_d8_spend,avg_prod40_d9_spend,prop_basket_s,prop_basket_m,prop_basket_l,prop_small_shop,prop_full_shop,prop_top_up,avg_dom_fresh_spend,avg_dom_mixed_spend,avg_dom_grocery_spend,avg_dom_nonfood_spend,cust_lifestage
CUST0000754756,12/24/2006,8/21/2007,3/27/2007,320,2,1,0,2,0,1,3,80,3,1,2.56,20.32,6.77,6.77,1.45,0,0,0,20.32,5.94,3.45,2.21,0,0.85,0,0,0,0,0.33,1.33,3,0.33,0,4.33,8.21,9.68,2.43,0,YA
CUST0000528323,1/2/2008,4/17/2008,1/13/2008,80,2,1,2,1,0,0,3,35.33,3,0.67,2.56,102.21,34.07,51.1,2.7,0,19.13,38.26,102.21,0,31.52,8.78,0,3.71,0,0,0,7.1,0,0,18,7,0,11,51.1,0,0,0,OT
CUST0000620309,4/12/2006,5/25/2008,3/23/2008,42,1,2,1,2,0,0,3,258,3,1,2.56,20.6,6.87,6.87,0.66,0,7.98,12.62,20.6,0,5.75,2.22,0,1.13,0,0,0,0,0,5.33,0,5.33,0,0,7.98,4.64,0,0,YF
CUST0000035164,7/15/2006,4/22/2008,5/14/2007,75,2,1,1,2,0,0,3,215.67,3,1,2.56,79.37,26.46,26.46,2.07,0,38.02,38.02,79.37,1.42,10.33,17.27,0,2.03,0,0,0,0,0,0.33,12,0.33,12,0,0,0,26.46,0,
CUST0000387393,8/30/2007,11/11/2007,11/9/2007,238,3,3,1,0,1,4,6,12.17,4,0.5,3.42,85.41,21.35,42.71,3.24,0,0,0,85.41,0,39.57,9.47,0,13.45,0,0,0,0,0.5,3.5,13,9,0,7.5,66.73,13.37,0,5.3,OA
CUST0000818004,9/29/2006,3/16/2007,3/12/2007,478,6,0,2,3,2,0,6,28,4,0.75,3.42,33.07,8.27,11.02,1.73,0,0,0,33.07,1.64,5.82,3.8,0.42,4.4,0,0,0,1.67,1,4.33,0,3.67,0,1.67,6.09,9.69,2.54,0,YF
CUST0000728732,9/29/2006,3/6/2008,10/27/2007,122,5,1,1,2,0,4,6,87.33,4,1,3.42,61.32,15.33,15.33,1.67,0,0,6.32,61.32,2.97,11.3,7.83,0,6.13,0,0,0,0,2,0.25,5.75,2.25,5.75,0,4,24.74,1.92,0,YF
CUST0000167842,10/4/2006,7/19/2007,4/20/2007,353,4,0,1,3,0,0,4,72,4,1,3.42,21.78,5.45,5.45,1.2,0,0,0,21.78,1.48,5.02,1.28,0,1.24,0,0,0,0,0.5,2.75,0,3.25,0,0,6.62,0,0,1.92,OT
CUST0000725312,2/20/2007,4/10/2008,11/2/2007,87,4,0,0,0,1,3,4,103.75,4,0.75,3.42,28.81,7.2,9.6,1.49,0,10.98,10.98,28.81,2.29,4.86,3.68,0,0,0,0,0,0,0.67,4,0,4.67,0,0,8.29,0,3.93,0,YF
CUST0000712389,9/23/2006,9/9/2007,12/31/2006,301,1,3,1,1,2,0,4,87.75,4,1,3.42,69.79,17.45,17.45,1.98,0,0,0,69.79,1.13,18.07,3.36,1.52,0.59,0,0,0,0,0.25,0,9.5,0.25,4.5,5,28.75,11.61,0.67,0,
CUST0000197821,3/14/2008,4/6/2008,3/26/2008,91,3,1,0,2,0,2,4,5.75,4,0.25,3.42,20.96,5.24,20.96,1.11,0,6.04,20.96,20.96,1.54,12.5,3.35,0,3.57,0,0,0,0,0,12,0,12,0,0,6.04,10.11,0,4.81,OA
CUST0000216757,7/12/2006,12/18/2006,11/22/2006,566,4,0,1,1,1,1,4,39.75,4,1,3.42,94.12,23.53,23.53,2.7,0,0,0,94.12,0.92,16.12,9.77,9.71,2.66,0,0,4.68,0,0.25,1.25,7.5,0.25,4.25,4.5,38.13,25.6,4.8,0,YF
CUST0000182683,10/29/2006,6/14/2008,6/13/2008,22,2,3,0,2,1,2,5,118.8,4,1,3.42,15.06,3.77,3.77,1.25,5.37,5.37,6.1,15.06,0,2.15,2.87,0,0,0,0,0,0,0.5,1.75,0,2.25,0,0,4.32,0,3.58,0,OT
CUST0000086874,9/30/2006,9/5/2007,4/13/2007,305,2,2,1,3,0,0,4,85,4,0.75,3.42,35.06,8.77,11.69,1.33,0,0,0,35.06,2.9,11.8,1.77,0,0.35,0,0,0,0,0.67,3,3,3.67,0,3,15.25,0,2.29,0,OT
CUST0000061543,7/11/2006,9/7/2007,10/5/2006,303,5,1,1,3,1,1,6,70.5,4,1,3.42,223.93,55.98,55.98,1.83,0,0,0,223.93,2.1,26.74,12.9,1.44,8.96,0,0,8,8.3,0,2,23,0.25,18.25,6.5,38.25,56.36,8.3,0,
CUST0000645048,6/9/2007,2/18/2008,7/25/2007,139,2,2,0,3,1,0,4,63.5,4,0.75,3.42,51.25,12.81,17.08,4.11,0,0,1.81,51.25,0,8.83,5.09,0,0.09,0,0,19.59,0,0,5.67,1,4.67,0,2,14.44,0,22.36,0,OT
CUST0000843588,5/4/2006,4/7/2008,7/29/2006,90,3,1,2,2,0,0,4,176,4,1,3.42,15.93,3.98,3.98,0.92,0,3.31,3.31,15.93,1.18,4.77,2.12,0,1.23,0,0,0,0,0,2.75,0,2.75,0,0,5.44,3.87,3.31,0,OA
CUST0000932232,7/22/2007,6/9/2008,2/18/2008,27,4,1,5,0,0,0,5,64.6,4,1,3.42,34,8.5,8.5,1.55,4.1,4.1,24.19,34,2.81,2.6,3.73,0,0,0,0,0,0,0,4.5,0,3.25,0,1.25,6,8.99,7,0,OT
CUST0000336132,6/18/2006,5/4/2008,11/10/2006,63,3,3,1,2,4,0,6,114.33,4,1,3.42,71.91,17.98,17.98,1.55,0,9.11,9.11,71.91,2.16,9.02,3.37,0.47,4.16,0,0,0,0,0,6.5,4,2.25,0,8.25,23.64,9.11,6.41,0,OT
CUST0000585862,7/23/2006,8/17/2007,7/12/2007,324,2,2,0,1,3,0,4,97.5,4,0.75,3.42,51.71,12.93,17.24,2.11,0,0,0,51.71,1.25,11.83,11.5,0,2.23,0,0,0,0,0.33,4,5.33,4.33,0,5.33,6.27,32.9,0,0,YA
CUST0000025746,3/19/2007,3/15/2008,3/14/2008,113,6,1,2,2,0,3,7,51.71,4,0.75,3.42,51.09,12.77,17.03,2.46,0,0,15.64,51.09,0,3.33,1.18,0,11,8.65,0,9.24,0,1.33,5.67,0,6.67,0,0,5.18,0,20.65,9.13,OA
CUST0000506753,11/18/2007,2/1/2008,1/25/2008,156,2,2,0,1,1,2,4,18.75,4,0.75,3.42,30.61,7.65,10.2,1.17,0,0,13.36,30.61,1.37,6.07,4.74,0,0.79,0,0,0,0,0,7.33,0,5.67,0,1.67,6.18,12.07,0,0,YA
CUST0000969554,6/11/2007,6/16/2008,7/23/2007,20,4,1,0,2,3,0,5,74.2,4,0.75,3.42,41.86,10.46,13.95,1.86,1.99,1.99,1.99,41.86,1.62,2.43,4.49,0,7.17,0,0,7.97,1.11,0.33,3,5,3.33,5,0,1.99,24.6,13.28,0,YA
CUST0000474039,1/3/2007,5/16/2008,4/9/2007,51,4,0,0,3,2,0,4,124.75,4,0.75,3.42,18.12,4.53,6.04,0.89,0,0.07,0.07,18.12,0.8,6.04,3.09,2,0.07,0,0,0,0,0.33,2.67,3.67,0.33,0,5.67,4.04,9.9,0,0,OT
CUST0000596446,5/5/2006,5/21/2008,12/16/2006,46,2,3,0,3,2,0,5,149.4,4,1,3.42,39.8,9.95,9.95,1.21,0,8.09,8.09,39.8,0.84,6.01,5.55,0,1.61,0,0,4.47,0,0,3.75,2,3.75,0,2,14.71,8.09,5.88,3.03,OT
CUST0000937048,8/10/2006,3/2/2008,9/28/2007,126,3,1,0,1,1,2,4,142.5,4,1,3.42,33.53,8.38,8.38,0.52,0,0,26.24,33.53,1.92,3.85,4.06,1.82,2.18,0,0,0,0,0.5,1.75,7.5,2.25,7.5,0,2.08,14.69,0,0,OT
CUST0000529710,10/14/2006,12/23/2007,12/1/2007,196,1,4,0,4,0,1,5,87,5,0.6,4.27,64.59,12.92,21.53,1.97,0,0,0,64.59,3.74,9.69,8.17,0,1.76,0,0,0,0,0.33,1.67,12.33,0.33,4,10,22.18,29.68,12.73,0,OA
CUST0000275191,6/2/2007,6/10/2008,5/12/2008,26,5,1,0,0,4,2,6,62.33,5,0.6,4.27,36.46,7.29,12.15,0.56,6.14,18.23,29.28,36.46,0,6.09,4.96,0,7.18,0,0,0,0,0,8,0,8,0,0,0,11.05,0,7.18,YA
CUST0000909229,7/17/2007,4/8/2008,2/4/2008,89,4,1,0,4,0,1,5,53.2,5,1,4.27,63.3,12.66,12.66,2.53,0,8.08,35.37,63.3,1.53,12.32,0,0,5.05,0,0,0,0,0,2.4,1.4,2.4,0,1.4,15.71,0,0,8.08,YA
CUST0000944640,6/27/2006,4/11/2008,1/16/2007,86,5,1,1,0,0,5,6,109,5,1,4.27,23.62,4.72,4.72,1.63,0,4.94,4.94,23.62,0,1.92,1.68,10.89,0.01,0,0,0,0,0.6,3,0,3.6,0,0,1.42,4.94,0,10.9,YA
CUST0000321246,5/16/2006,10/21/2007,8/9/2007,259,5,2,3,3,1,0,7,74.71,5,1,4.27,34.05,6.81,6.81,3.27,0,0,0,34.05,2.92,2.25,0.74,10.14,0.24,0,0,0,0,1.4,1.2,0.4,2.6,0,0.4,4.08,13.82,1.05,11.01,OT
CUST0000562852,9/26/2006,3/7/2007,1/12/2007,487,5,1,3,3,0,0,6,27,5,0.6,4.27,18.75,3.75,6.25,1.44,0,0,0,18.75,0,3.08,0.63,0,5.31,0,0,0,2.94,1.33,4,0,5.33,0,0,7.34,2.18,2.94,6.29,OA
CUST0000192207,10/25/2006,4/20/2008,1/1/2007,77,4,1,0,2,0,3,5,108.6,5,0.6,4.27,139.02,27.8,46.34,1.58,0,9.96,9.96,139.02,3.94,27.17,15.93,6,7.82,0,0,0,0,0,3.33,21.67,3.33,15.67,6,19.48,40.29,0,0,YF
CUST0000184131,4/16/2006,6/2/2008,7/17/2007,34,2,3,5,0,0,0,5,155.6,5,1,4.27,29,5.8,5.8,3.05,0,4.93,4.93,29,0,0,5.91,0,5.37,0,0,0,0,1,0.2,0.2,1.2,0,0.2,0,0,5.91,5.37,OT
CUST0000209765,5/15/2006,6/25/2008,3/31/2008,11,3,2,2,0,3,0,5,154.4,5,0.8,4.27,63.04,12.61,15.76,2.71,18.89,18.89,35.57,63.04,2.98,3.17,4.55,0,14.78,0,0,0,0,0.25,3.5,2,0.25,0,5.5,7.34,18.15,1.24,0,OA
CUST0000197322,9/21/2006,6/8/2008,4/26/2008,28,3,3,1,3,2,0,6,104.33,5,0.6,4.27,10.45,2.09,3.48,0.33,1.01,2.61,2.61,10.45,1.6,1.15,0.35,0,1.54,0,0,0,0,2.67,2,0,4.67,0,0,1.47,0,0,2.01,YF
CUST0000441645,6/11/2006,9/26/2007,6/21/2007,284,4,1,1,0,1,3,5,94.4,5,1,4.27,161.3,32.26,32.26,3.31,0,0,0,161.3,0,43.22,3.62,0,5.7,0,9.36,0,0,0.4,0,10.6,0.2,2.8,7.8,65.56,29.67,0.49,0,OT
CUST0000911775,9/7/2006,7/6/2008,7/23/2007,0,4,3,2,3,2,0,7,95.43,5,1,4.27,68.25,13.65,13.65,2.8,6.63,6.63,6.63,68.25,0,4.86,3.37,12.54,1.04,0,0,6.06,0.3,0.6,2,3.2,2.6,0,3.2,9.18,16.46,8.79,16.23,YF
CUST0000272029,11/29/2006,1/28/2008,10/4/2007,160,4,1,3,1,0,1,5,85,5,1,4.27,11.98,2.4,2.4,1.42,0,0,2.56,11.98,0.62,0.98,2.1,0,0,0,0,0,0,0.6,1.6,0,2.2,0,0,1.51,0,3.72,0,YF
CUST0000625493,11/26/2007,3/31/2008,2/21/2008,97,8,2,0,0,6,4,10,12.6,5,0.4,4.27,65.65,13.13,32.82,1.75,0,0,25.6,65.65,4.17,18.86,7.69,5.87,1.26,0,0,0,0,2,4,12.5,5.5,0,12.5,33.69,21.81,2.08,5.87,
CUST0000324730,9/20/2006,3/1/2008,11/19/2007,127,4,1,1,3,0,1,5,105.6,5,1,4.27,61.4,12.28,12.28,15.29,0,0,2.63,61.4,0,3.99,0,0,1.91,0,0,47.52,0,0.8,1,0,1.8,0,0,3.99,0,47.52,1.91,OA
CUST0000371194,6/21/2006,5/24/2008,4/21/2008,43,3,2,2,0,3,0,5,140.6,5,0.8,4.27,11.37,2.27,2.84,0.79,0,5.56,5.56,11.37,0,0,2.84,0,0,0,0,0,0,0.25,2,0,2.25,0,0,0,0,2.84,0,YF
CUST0000932110,9/20/2006,3/1/2008,11/29/2007,127,3,2,1,0,0,4,5,105.6,5,1,4.27,59.93,11.99,11.99,1.39,0,0,1.96,59.93,4.36,10.06,5.29,0,0,0,0,0,0,0.2,2.2,3,1.2,0,4.2,12.57,9.64,0,0,
CUST0000061512,12/26/2006,5/29/2008,1/28/2008,38,5,0,0,4,1,0,5,104,5,1,4.27,12.63,2.53,2.53,0.37,0,2.09,7.23,12.63,1.37,1.91,0.35,0,0,0,0,0,0,1.2,1.2,0,2.4,0,0,2.53,0,0,0,OT
CUST0000100452,8/12/2006,4/23/2008,1/9/2008,74,6,2,1,4,3,0,8,77.5,5,1,4.27,36.54,7.31,7.31,0.84,0,5.73,24.21,36.54,4.72,4.65,2.11,1.34,0.7,0,0,0,0,1,5.4,0,3.2,0,3.2,9.23,2.98,0,1.44,YA
CUST0000323394,5/5/2006,4/17/2008,3/20/2008,80,3,2,4,0,1,0,5,142.6,5,1,4.27,141.18,28.24,28.24,3.42,0,23.42,25.25,141.18,5.46,19.41,6.76,4.23,4.41,0,0,15.24,0,0.4,2.4,6.4,2.8,0,6.4,46.26,23.42,1.83,0,
CUST0000666036,7/18/2006,6/30/2008,4/11/2007,6,5,1,1,2,3,0,6,118.83,5,0.8,4.27,96.8,19.36,24.2,2.36,6.07,6.07,6.07,96.8,2.86,25.64,3.22,0,5.37,0,0,10.8,0,0,3.25,8.5,3.25,8.5,0,25.35,33.95,0,6.07,YA
CUST0000259454,4/19/2006,5/14/2008,8/17/2007,53,5,0,0,1,2,2,5,151.2,5,1,4.27,111.55,22.31,22.31,1.13,0,32.69,32.69,111.55,0.73,12.37,6.79,0,0.4,0,0,6.7,0,0,0.8,12.6,0.8,4.2,8.4,15.39,32.69,0,0,YF
CUST0000869224,5/18/2006,5/11/2008,3/24/2008,56,3,2,3,0,0,2,5,144.8,5,1,4.27,101.93,20.39,20.39,1.37,0,23.16,24.73,101.93,2.29,8.46,8.88,0,1.38,0,0,10.56,3.48,0,0.4,14,0.4,12,2,1.57,25.09,0,0,OF
